код ТТ;Название ТТ;Широта;Долгота;Продажи;Кластер;Нов продажи с корректировкой 25;Топ/аут;Потенциал продаж;Субканал (формат);Ассортимент,добавить sku:;Цена, снизить sku:;Выкладка на ХП, добавить:;Выкладка на ТП, добавить:;Оборудование, добавить:;ДМП, добавить:
294520003786822;Асадов ИП;55,181927;61,4839007;0.872610918475254;ПродуктЧрПрил313;6,976643117;0;0,2;Торговля через прилавок;10;;;;;
298790001075810;Воробьева Е.Ф.;55,1894076;61,4766679;81.9287041396101;ПродуктЧрПрил413;81,92870414;1;0;Торговля через прилавок;;;;;;
298790001291824;ИП Асадов;55,17141;61,4436;12.6549109696653;ПродуктЧрПрил314;13,92040207;0;0,1;Торговля через прилавок;10;;15;;;
298790001010156;ИП Гусейнли С.С.;55,1691583;61,4645422;56.7456894029695;ПродуктЧрПрил313;56,7456894;1;0;Торговля через прилавок;;;;;;
298790001044695;Зиновьев;55,12968169;61,38943803;54.6398029175858;ПродуктЧрПрил331;57,69131378;0;0,055847765;Торговля через прилавок;9;;26;;;
294520000932888;Севостьянова А.Ю. ИП;55,0847499526295;61,3419119641185;38.2460229922316;ПродуктЧрПрил213;38,24602299;1;0;Торговля через прилавок;;;;;;
294520000029326;Задорин ЧП;55,1053252;61,3650431;28.4380986507004;Пивная(кеги)214;28,43809865;1;0;Торговля через прилавок;;;;;;
294520000788971;Александричева ИП;55,1063954056732;61,3688406720758;66.2763142444377;ПродуктЧрПрил224;70,20768102;0;0,059317824;Торговля через прилавок;5;;14;;;
298790000822082;Тронин А. Н;55,1371676003808;61,4127340167761;42.3616234727013;ПродуктЧрПрил223;42,36162347;1;0;Торговля через прилавок;;;;;;
53400000003491;Мануилов А В ЧП;55,11355894;61,34259584;38.3452033127183;ПродуктЧрПрил223;38,34520331;1;0;Торговля через прилавок;;;;;;
294520000489145;Андреева Н. С. ИП;55,1149737;61,339226;11.6770945874293;ПродуктЧрПрил313;20,34677399;0;0,2;Торговля через прилавок;7;;20;;;
298790001130918;Чащина (отдел слева;55,072736;61,398556;1.21774285801965;ПродуктЧрПрил313;7,321775056;0;0,2;Торговля через прилавок;10;;;;;
53400000008458;Чащина ЧП (отдел справа);55,0727947129971;61,3977384567261;1.53322003213909;ПродуктЧрПрил223;10,94964507;0;0,2;Торговля через прилавок;10;;14;;;
298790001096525;СНТ Металлург;55,2841900879381;61,3963168859482;51.0012806126887;ПродуктЧрПрил420;56,10140867;0;0,1;Торговля через прилавок;3;;22;;;
294520000633735;Яблонька;55,2582494193689;61,3665178070109;20.0954049320264;ПродуктЧрПрил423;37,10277693;0;0,2;Торговля через прилавок;10;6;22;;;
294520000697863;Универсальный;55,2646967754114;61,40145076919;11.0340309941841;ПродуктЧрПрил423;22,16486407;0;0,2;Торговля через прилавок;7;;29;;;
294520800840284;Закусочная;55,2641174047914;61,4115853607655;8.67931912451422;ПродуктЧрПрил312;16,79784981;0;0,2;Торговля через прилавок;;;21;;;
298790000922123;"ООО ""СИЛУЭТ"" (смак)";55,2474291;61,3737911;20.3752268710477;ПродуктЧрПрил323;26,60699186;0;0,2;Торговля через прилавок;10;;16;;;
