код ТТ;Название ТТ;Широта;Долгота;Продажи;Кластер;Нов продажи с корректировкой 25;Топ/аут;Потенциал продаж;Субканал (формат);Ассортимент,добавить sku:;Цена, снизить sku:;Выкладка на ХП, добавить:;Выкладка на ТП, добавить:;Оборудование, добавить:;ДМП, добавить:
2,9452E+14;СПАР;55,18960703;61,2837895;1.92346608946688;ПродуктСО513;31,57360445;0;0.2;Конвиниенс;;10;;35;1;1
2,9452E+14;СПАР;55,1774025;61,39151764;1.92346608946688;ПродуктСО513;31,57360445;0;0.2;Конвиниенс;;10;25;35;;
N12426300;СПАР;55,11709595;61,44350815;2.56650270139781;ПродуктСО523;36,42283893;0;0.2;Конвиниенс;;;;;1;
2,9452E+14;СПАР;55,12820816;61,43329239;1.06796518900094;ПродуктСО503;16,13837853;0;0.2;Конвиниенс;;10;;35;;
2,9879E+14;СПАР;55,155767;61,417007;12.9083317808949;ПродуктСО513;42,55847014;0;0.2;Конвиниенс;;;21;35;;1
N12426316;СПАР;55,1518787;61,38345234;1.92346608946688;ПродуктСО513;31,57360445;0;0.2;Конвиниенс;;;16;35;;1
2,94521E+14;Ариант;55,1483536;61,41241696;1.99389489180905;ПродуктСО403;3,540740332;0;0.2;Конвиниенс;10;;;;;
2,9879E+14;Ариант;55,17574708;61,29380985;6.12691741970963;ПродуктСО403;6,12691742;1;0;Конвиниенс;;;;;;
2,9879E+14;Ариант;55,1956722;61,3354144;7.99167652393944;ПродуктСО403;7,991676524;1;0;Конвиниенс;;;;;;
2,9879E+14;Ариант;55,171463;61,369603;3.00788273039396;ПродуктСО401;19,79362236;0;0.2;Конвиниенс;10;;;;;
2,94521E+14;Лентешкина В.В. ИП;55,2046192;61,2833212;62.026926151432;ПродуктСО423;116,5583515;0;0.2;Конвиниенс;;;22;;;
2,94521E+14;Ариант;55,13374923;61,43795361;3.30517313566924;ПродуктСО403;3,540740332;0;0.071272271;Конвиниенс;9;;;;;
2,94521E+14;Ариант;55,13307953;61,42678833;5.93650760775432;ПродуктСО403;5,936507608;1;0;Конвиниенс;;;;;;
2,94521E+14;Ариант;55,11609957;61,46878598;3.21885484753743;ПродуктСО403;3,540740332;0;0.1;Конвиниенс;10;;;;;
5340310;Семерочка ООО Новороссийский;55,10362311;61,48967687;144.59824753223;ПродуктСО424;144,5982475;1;0;Конвиниенс;;;;;;
2,94521E+14;Ариант;55,198862;61,333337;2.5984952783576;ПродуктСО403;3,540740332;0;0.2;Конвиниенс;10;;;;;
2,94521E+14;Ариант;55,19237759;61,28641505;2.27125691406317;ПродуктСО403;3,540740332;0;0.2;Конвиниенс;10;;;;;
2,94521E+14;Ариант;55,1970122;61,4733181;23.1456769195849;ПродуктСО403;23,14567692;1;0;Конвиниенс;;;;;;
