код ТТ;Название ТТ;Широта;Долгота;Продажи;Кластер;Нов продажи с корректировкой 25;Топ/аут;Потенциал продаж;Субканал (формат);Ассортимент,добавить sku:;Цена, снизить sku:;Выкладка на ХП, добавить:;Выкладка на ТП, добавить:;Оборудование, добавить:;ДМП, добавить:
2,9879E+14;Магнит Эмметсбург;55,253212;61,380184;128.320134019639;ПродуктСО523;128,320134;1;0;Конвиниенс;;;;;;
2,9452E+14;Магнит Астрофитум;55,24876189;61,39969908;45.1355383269371;ПродуктСО423;80,10304377;0;0.2;Конвиниенс;;;29;23;;2
2,9879E+14;Магнит Боков;55,18016589;61,29652642;146.890922680575;ПродуктСО423;146,8909227;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Сереброполь;55,178933;61,286779;217.555771204243;ПродуктСО533;217,5557712;1;0;Конвиниенс;;;;;;
2,9452E+14;Магнит Руно;55,18154118;61,3047452;81.3160223335627;ПродуктСО423;116,5583515;0;0.2;Конвиниенс;;10;1;3;;
2,9879E+14;Магнит Снежок;55,17793632;61,29793417;86.2635853587354;ПродуктСО423;116,5583515;0;0.2;Конвиниенс;;;29;;;
2,9879E+14;Магнит Землевладелица;55,18767101;61,286694;91.4990041399795;ПродуктСО533;132,4588263;0;0.2;Конвиниенс;;;1;33;;
2,9879E+14;Магнит Рукель;55,18517;61,302967;76.8739231040552;ПродуктСО433;120,0517368;0;0.2;Конвиниенс;;;1;;;
2,9879E+14;Магнит Антифраз;55,17113626;61,29574723;88.5617792985851;ПродуктСО503;88,5617793;1;0;Конвиниенс;;;;;;
682204;Магнит Гламурный;55,183991;61,29395093;123.145740722907;ПродуктСО443;153,2682432;0;0.2;Конвиниенс;10;;1;35;;
2,9879E+14;Пятёрочка Х5;55,18641663;61,39374161;134.141282579055;ПродуктСО533;134,1412826;1;0;Конвиниенс;;;;;;
2,9879E+14;Пятёрочка;55,182896;61,373825;43.3048790815125;ПродуктСО413;82,35002502;0;0.2;Конвиниенс;2;;2;20;;
2,9879E+14;Пятёрочка;55,158009;61,398978;68.792963149449;ПродуктСО514;98,11505732;0;0.2;Конвиниенс;10;;14;10;;
2,9879E+14;Пятёрочка;55,1792601;61,398557;49.7258676268362;ПродуктСО503;50,23471114;0;0.010232974;Конвиниенс;10;;;29;;
2,9879E+14;Магнит Катонсвилл;55,1843;61,37911;154.851834680572;ПродуктСО543;154,8518347;1;0;Конвиниенс;;;;;;
1911017537;Магнит Водолей;55,1797756;61,4046535;87.3929673621926;ПродуктСО523;112,8544541;0;0.2;Конвиниенс;;;26;;;
2,9879E+14;Магнит Гленко;55,18720991;61,4014037;120.923279979211;ПродуктСО523;120,92328;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Ньюри;55,1650715;61,4008526;45.6152124759699;ПродуктСО513;75,26535083;0;0.2;Конвиниенс;10;;6;2;;
2,9452E+14;Магнит Кедровый;55,28779221;61,51612091;186.352037116787;ПродуктСО521;186,3520371;1;0;Конвиниенс;;;;;;
2,94521E+14;Магнит Пярну;55,248193;61,390146;121.038886474736;ПродуктСО423;121,0388865;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Перебой;55,25870225;61,40193131;97.4678583565916;ПродуктСО523;112,8544541;0;0.2;Конвиниенс;7;;28;;;9
2,9879E+14;Магнит Освободительница;55,2472198;61,3741816;103.527307821996;ПродуктСО533;132,4588263;0;0.2;Конвиниенс;;;24;1;;
682203;Магнит Довиль;55,25865173;61,37677383;124.589149152436;ПродуктСО533;132,4588263;0;0.063165028;Конвиниенс;;;1;;;
6822124;Магнит Муссон;55,26176794;61,39725499;117.954154119595;ПродуктСО523;117,9541541;1;0;Конвиниенс;;;;;;
682287;Магнит Утиве;55,2584264;61,3847861;138.208131140215;ПродуктСО523;138,2081311;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Поддев;55,264282;61,389385;108.424337489918;ПродуктСО533;132,4588263;0;0.2;Конвиниенс;;;15;;;
N*551753080;Магнит Баринас;55,24124482;61,37486617;147.438149357131;ПродуктСО523;147,4381494;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Эльмсфорд;55,190105;61,331364;102.654512341747;ПродуктСО543;123,173728;0;0.2;Конвиниенс;;;5;22;;
2,9879E+14;Магнит Ракитовая;55,201998;61,320546;269.026836797898;ПродуктСО433;269,0268368;1;0;Конвиниенс;;;;;;
682280;Магнит Корсика;55,1946616;61,3470783;153.258163976762;ПродуктСО533;153,258164;1;0;Конвиниенс;;;;;;
N*55175383;Магнит Скрепка;55,19983292;61,32474899;176.042398836844;ПродуктСО433;176,0423988;1;0;Конвиниенс;;;;;;
