код ТТ;Название ТТ;Широта;Долгота;Продажи;Кластер;Нов продажи с корректировкой 25;Топ/аут;Потенциал продаж;Субканал (формат)
2,9879E+14;Магнит Шлифовщик;55,18597;61,46877;179.9711828;ПродуктСО522;179,9711828;1;0;Конвиниенс
N*551751348;Магнит Литье;55,1675017;61,5234369;125.1854696;ПродуктСО424;125,1854696;1;0;Конвиниенс
N*551754219;Магнит Тапкана;55,16099151;61,45893045;103.9180354;ПродуктСО533;132,4588263;0;0.274647137;Конвиниенс
2,9452E+14;Магнит Салют;55,16848373;61,47025299;49.36949994;ПродуктСО423;84,33700538;0;0.70828154;Конвиниенс
2,9879E+14;Магнит Мураново;55,16115937;61,43961143;71.60639205;ПродуктСО423;116,5583515;0;0.627764619;Конвиниенс
2,9879E+14;Магнит Мотбодары;55,172085;61,527671;93.25979927;ПродуктСО424;108,1263075;0;0.15940961;Конвиниенс
N*55175230;Магнит Тулон;55,17869484;61,4610227;40.80841451;ПродуктСО513;70,45855286;0;0.726569231;Конвиниенс
N*551753002;Магнит Идалия;55,1709585;61,5366813;109.1379426;ПродуктСО433;120,0517368;0;0.1;Конвиниенс
2,9879E+14;Пятёрочка;55,170429;61,311186;67.99670215;ПродуктСО413;82,35002502;0;0.211088515;Конвиниенс
2,9879E+14;Пятёрочка;55,17802429;61,30909348;81.23872381;ПродуктСО413;82,35002502;0;0.013679452;Конвиниенс
2,9879E+14;Пятёрочка;55,1792084;61,3095555;80.67276076;ПродуктСО423;116,5583515;0;0.44482909;Конвиниенс
2,9879E+14;Пятёрочка;55,155191;61,301601;40.96198323;ПродуктСО502;57,42162076;0;0.401827163;Конвиниенс
2,9879E+14;Пятёрочка;55,172213;61,366343;34.34923115;ПродуктСО412;58,85317097;0;0.713376661;Конвиниенс
2,9879E+14;Пятёрочка;55,174388;61,337462;27.01226423;ПродуктСО403;27,01226423;1;0;Конвиниенс
2,9452E+14;Магнит Кашемир;55,1894243;61,31705091;248.313037;ПродуктСО533;248,313037;1;0;Конвиниенс
2,9879E+14;Магнит Локализация;55,177303;61,36354;210.6199615;ПродуктСО523;210,6199615;1;0;Конвиниенс
2,9879E+14;Магнит Пирлсити;55,1824;61,331722;116.4562784;ПродуктСО433;120,0517368;0;0.030873891;Конвиниенс
2,9879E+14;Магнит Докучаевск;55,1845;61,337929;91.18921722;ПродуктСО523;112,8544541;0;0.237585512;Конвиниенс
6822164;Магнит Лилейный;55,18531224;61,33918016;89.32938548;ПродуктСО533;132,4588263;0;0.482813584;Конвиниенс
96812670;Магнит Каширинский;55,17815482;61,31311908;75.05998092;ПродуктСО423;116,5583515;0;0.552869453;Конвиниенс
N*551751043;Магнит Бирка;55,1715702;61,2997015;110.5503391;ПродуктСО433;120,0517368;0;0.085946346;Конвиниенс
2,9452E+14;Магнит Лондон;55,16294577;61,30056791;52.38781329;ПродуктСО503;52,38781329;1;0;Конвиниенс
2,9452E+14;Магнит Феррит;55,16383666;61,29670984;35.91380972;ПродуктСО503;50,23471114;0;0.398757512;Конвиниенс
2,9879E+14;Магнит Ракушник;55,1649;61,286068;51.5453511;ПродуктСО503;51,5453511;1;0;Конвиниенс
2,9879E+14;Магнит Щербакты;55,179226;61,35203;50.00934624;ПродуктСО423;84,97685168;0;0.699219407;Конвиниенс
N*551752083;Магнит Эладио;55,16290266;61,38841694;54.87711981;ПродуктСО423;89,84462525;0;0.637196441;Конвиниенс
2,9452E+14;Магнит Артуа;55,18208313;61,43535233;125.6022071;ПродуктСО523;125,6022071;1;0;Конвиниенс
2,9452E+14;Магнит Радхан;55,18031311;61,4283371;275.7372575;ПродуктСО523;275,7372575;1;0;Конвиниенс
2,94521E+14;Магнит Ончетта;55,17483652;61,41640663;243.204503;ПродуктСО423;243,204503;1;0;Конвиниенс
2,9879E+14;Магнит Тиник;55,1635673;61,4215964;86.91837693;ПродуктСО432;103,2690948;0;0.188115775;Конвиниенс
2,9879E+14;Магнит Голова;55,1630383;61,4111925;67.9097138;ПродуктСО422;74,70068518;0;0.1;Конвиниенс
2,9879E+14;Магнит Пионерка;55,03615901;61,36921585;102.7788196;ПродуктСО523;112,8544541;0;0.098032207;Конвиниенс
2,9879E+14;Магнит Титония;55,1852823;61,4200258;86.50364554;ПродуктСО523;112,8544541;0;0.304620787;Конвиниенс
2,9879E+14;Магнит Периодика;55,17193453;61,41615886;110.9463418;ПродуктСО513;110,9463418;1;0;Конвиниенс
2,9879E+14;Магнит Челяба;55,18622;61,43587;117.750805;ПродуктСО523;117,750805;1;0;Конвиниенс
2,9879E+14;Магнит Новыйузень;55,17989;61,43552;84.43591939;ПродуктСО513;98,83379452;0;0.170518368;Конвиниенс
N*551752822;Магнит Лиондор;55,1761888;61,4279018;152.2883836;ПродуктСО523;152,2883836;1;0;Конвиниенс
N*551754255;Магнит Лежак;55,1693227;61,4157383;78.166488;ПродуктСО523;112,8544541;0;0.443770303;Конвиниенс
2,9879E+14;Пятёрочка;55,25767;61,402195;66.49808141;ПродуктСО413;82,35002502;0;0.23838197;Конвиниенс
1911062534;Магнит Румянцева;55,25135422;61,38030243;164.3793943;ПродуктСО423;164,3793943;1;0;Конвиниенс
2,9879E+14;Магнит Прасковья;55,245555;61,3970171;122.3909594;ПродуктСО523;122,3909594;1;0;Конвиниенс
2,9879E+14;Магнит Трапезарь;55,250544;61,3972366;101.4528278;ПродуктСО523;112,8544541;0;0.112383525;Конвиниенс
2,9879E+14;Магнит Шарлоттхарбор;55,246216;61,387856;198.4674089;ПродуктСО523;198,4674089;1;0;Конвиниенс
2,9879E+14;Магнит Эмметсбург;55,253212;61,380184;128.320134;ПродуктСО523;128,320134;1;0;Конвиниенс
2,9452E+14;Магнит Астрофитум;55,24876189;61,39969908;45.13553833;ПродуктСО423;80,10304377;0;0.774722242;Конвиниенс
2,9879E+14;Магнит Боков;55,18016589;61,29652642;146.8909227;ПродуктСО423;146,8909227;1;0;Конвиниенс
2,9879E+14;Магнит Сереброполь;55,178933;61,286779;217.5557712;ПродуктСО533;217,5557712;1;0;Конвиниенс
2,9452E+14;Магнит Руно;55,18154118;61,3047452;81.31602233;ПродуктСО423;116,5583515;0;0.43339957;Конвиниенс
2,9879E+14;Магнит Снежок;55,17793632;61,29793417;86.26358536;ПродуктСО423;116,5583515;0;0.351188349;Конвиниенс
2,9879E+14;Магнит Землевладелица;55,18767101;61,286694;91.49900414;ПродуктСО533;132,4588263;0;0.447653202;Конвиниенс
2,9879E+14;Магнит Рукель;55,18517;61,302967;76.8739231;ПродуктСО433;120,0517368;0;0.561670486;Конвиниенс
2,9879E+14;Магнит Тальник;55,16861698;61,28118441;38.5444853;ПродуктСО502;57,42162076;0;0.48974932;Конвиниенс
2,9879E+14;Магнит Антифраз;55,17113626;61,29574723;88.5617793;ПродуктСО503;88,5617793;1;0;Конвиниенс
2,9879E+14;Магнит Фаджоли;55,169663;61,278496;32.8892028;ПродуктСО502;57,42162076;0;0.745910994;Конвиниенс
682204;Магнит Гламурный;55,183991;61,29395093;123.1457407;ПродуктСО443;153,2682432;0;0.244608562;Конвиниенс
2,9879E+14;Пятёрочка Х5;55,18641663;61,39374161;134.1412826;ПродуктСО533;134,1412826;1;0;Конвиниенс
2,9879E+14;Пятёрочка;55,158009;61,398978;68.79296315;ПродуктСО514;98,11505732;0;0.426236825;Конвиниенс
2,9879E+14;Пятёрочка;55,1792601;61,398557;49.72586763;ПродуктСО503;50,23471114;0;0.010232974;Конвиниенс
2,9879E+14;Магнит Катонсвилл;55,1843;61,37911;154.8518347;ПродуктСО543;154,8518347;1;0;Конвиниенс
1911017537;Магнит Водолей;55,1797756;61,4046535;87.39296736;ПродуктСО523;112,8544541;0;0.291344802;Конвиниенс
2,9879E+14;Магнит Гленко;55,18720991;61,4014037;120.92328;ПродуктСО523;120,92328;1;0;Конвиниенс
2,9452E+14;Магнит Теплотех;55,18494625;61,40033023;36.78339307;ПродуктСО503;50,23471114;0;0.365689974;Конвиниенс
2,9879E+14;Магнит Ньюри;55,1650715;61,4008526;45.61521248;ПродуктСО513;75,26535083;0;0.650005486;Конвиниенс
2,9879E+14;Магнит;55,157222;61,376763;31.03581784;ПродуктСО503;50,23471114;0;0.618604394;Конвиниенс
2,9452E+14;Магнит Кедровый;55,28779221;61,51612091;186.3520371;ПродуктСО521;186,3520371;1;0;Конвиниенс
2,94521E+14;Магнит Пярну;55,248193;61,390146;121.0388865;ПродуктСО423;121,0388865;1;0;Конвиниенс
2,9879E+14;Магнит Перебой;55,25870225;61,40193131;97.46785836;ПродуктСО523;112,8544541;0;0.157863279;Конвиниенс
2,9879E+14;Магнит Освободительница;55,2472198;61,3741816;103.5273078;ПродуктСО533;132,4588263;0;0.279457846;Конвиниенс
682203;Магнит Довиль;55,25865173;61,37677383;124.5891492;ПродуктСО533;132,4588263;0;0.063165028;Конвиниенс
6822124;Магнит Муссон;55,26176794;61,39725499;117.9541541;ПродуктСО523;117,9541541;1;0;Конвиниенс
682287;Магнит Утиве;55,2584264;61,3847861;138.2081311;ПродуктСО523;138,2081311;1;0;Конвиниенс
2,9879E+14;Магнит Поддев;55,264282;61,389385;108.4243375;ПродуктСО533;132,4588263;0;0.221670608;Конвиниенс
N*551753080;Магнит Баринас;55,24124482;61,37486617;147.4381494;ПродуктСО523;147,4381494;1;0;Конвиниенс
2,9879E+14;Пятёрочка;55,194409;61,338459;22.76296801;ПродуктСО503;37,83338135;0;0.662058363;Конвиниенс
2,9879E+14;Магнит Эльмсфорд;55,190105;61,331364;102.6545123;ПродуктСО543;123,173728;0;0.199886154;Конвиниенс
2,9879E+14;Магнит Ракитовая;55,201998;61,320546;269.0268368;ПродуктСО433;269,0268368;1;0;Конвиниенс
682280;Магнит Корсика;55,1946616;61,3470783;153.258164;ПродуктСО533;153,258164;1;0;Конвиниенс
N*55175383;Магнит Скрепка;55,19983292;61,32474899;176.0423988;ПродуктСО433;176,0423988;1;0;Конвиниенс
2,9452E+14;Магнит Алансон;55,19824219;61,33824539;109.989673;ПродуктСО533;132,4588263;0;0.204284208;Конвиниенс
2,9452E+14;Магнит Лордерон;55,19379044;61,34231186;75.48423172;ПродуктСО523;112,8544541;0;0.49507323;Конвиниенс
2,9879E+14;Магнит Ириомотэ;55,19432505;61,35740777;103.5544747;ПродуктСО523;112,8544541;0;0.089807606;Конвиниенс
2,9879E+14;Магнит Фондан;55,1944115;61,3141785;175.7839428;ПродуктСО423;175,7839428;1;0;Конвиниенс
2,9452E+14;Магнит Саверн;55,18032074;61,38769531;45.91447559;ПродуктСО503;50,23471114;0;0.094093104;Конвиниенс
2,9879E+14;Магнит Бестиарий;55,1915998;61,37753975;93.83475359;ПродуктСО423;116,5583515;0;0.242166117;Конвиниенс
